Cultivation,Block,Plot,Quadrat,Species,Count
october,a,1,Q1,Achillea millefolium,4
october,a,1,Q1,Agrostis gigantea,NA
october,a,1,Q1,Anagallis arvensis,NA
october,a,1,Q1,Anchusa arvensis,NA
october,a,1,Q1,Anisantha sterilis,NA
october,a,1,Q1,Aphanes australis,NA
october,a,1,Q1,Artemesia vulgaris,NA
october,a,1,Q1,Bromus hordaceus,NA
october,a,1,Q1,Cerastium glomeratun,NA
october,a,1,Q1,Chenopodium album,NA
october,a,1,Q1,Cirsium arvense,NA
october,a,1,Q1,Conyza canadensis,NA
october,a,1,Q1,Crepis capillaris,NA
october,a,1,Q1,Crepis paludos,NA
october,a,1,Q1,Elytrigia repens,NA
october,a,1,Q1,Epilobium ciliatum,1
october,a,1,Q1,Erodium cicutarium,NA
october,a,1,Q1,Fallopia convolvulus,NA
october,a,1,Q1,Festuca rubra,NA
october,a,1,Q1,Geranium molle,NA
october,a,1,Q1,Holcus mollis,159
october,a,1,Q1,Hypochaeris radicata,NA
october,a,1,Q1,Lactuca serriola,NA
october,a,1,Q1,Medicago lupulina,NA
october,a,1,Q1,Myosotis arvensis,NA
october,a,1,Q1,Plantago lanceolata,NA
october,a,1,Q1,Polpaver dubium,NA
october,a,1,Q1,Raphanus raphanistrum,NA
october,a,1,Q1,Rumex acetosella,25
october,a,1,Q1,Rumex crispus,NA
october,a,1,Q1,Rumex obtusifolia,NA
october,a,1,Q1,Semecio jacobaea,NA
october,a,1,Q1,Sonchus asper,NA
october,a,1,Q1,Spergula arvensis,NA
october,a,1,Q1,Stellaria graminea,8
october,a,1,Q1,Taraxacum officinale,NA
october,a,1,Q1,Tripleurospermum inodorum,11
october,a,1,Q1,Veronica arvensis,NA
october,a,1,Q1,Veronica persica,1
october,a,1,Q1,Viola arvensis,NA
october,a,1,Q1,Vulpia myuros,NA
october,a,1,Q2,Achillea millefolium,8
october,a,1,Q2,Agrostis gigantea,NA
october,a,1,Q2,Anagallis arvensis,NA
october,a,1,Q2,Anchusa arvensis,3
october,a,1,Q2,Anisantha sterilis,NA
october,a,1,Q2,Aphanes australis,NA
october,a,1,Q2,Artemesia vulgaris,NA
october,a,1,Q2,Bromus hordaceus,NA
october,a,1,Q2,Cerastium glomeratun,2
october,a,1,Q2,Chenopodium album,NA
october,a,1,Q2,Cirsium arvense,5
october,a,1,Q2,Conyza canadensis,NA
october,a,1,Q2,Crepis capillaris,NA
october,a,1,Q2,Crepis paludos,NA
october,a,1,Q2,Elytrigia repens,NA
october,a,1,Q2,Epilobium ciliatum,NA
october,a,1,Q2,Erodium cicutarium,NA
october,a,1,Q2,Fallopia convolvulus,NA
october,a,1,Q2,Festuca rubra,NA
october,a,1,Q2,Geranium molle,NA
october,a,1,Q2,Holcus mollis,81
october,a,1,Q2,Hypochaeris radicata,NA
october,a,1,Q2,Lactuca serriola,NA
october,a,1,Q2,Medicago lupulina,NA
october,a,1,Q2,Myosotis arvensis,NA
october,a,1,Q2,Plantago lanceolata,NA
october,a,1,Q2,Polpaver dubium,NA
october,a,1,Q2,Raphanus raphanistrum,NA
october,a,1,Q2,Rumex acetosella,NA
october,a,1,Q2,Rumex crispus,NA
october,a,1,Q2,Rumex obtusifolia,NA
october,a,1,Q2,Semecio jacobaea,NA
october,a,1,Q2,Sonchus asper,NA
october,a,1,Q2,Spergula arvensis,NA
october,a,1,Q2,Stellaria graminea,4
october,a,1,Q2,Taraxacum officinale,NA
october,a,1,Q2,Tripleurospermum inodorum,1
october,a,1,Q2,Veronica arvensis,NA
october,a,1,Q2,Veronica persica,NA
october,a,1,Q2,Viola arvensis,3
october,a,1,Q2,Vulpia myuros,NA
october,a,1,Q3,Achillea millefolium,3
october,a,1,Q3,Agrostis gigantea,NA
october,a,1,Q3,Anagallis arvensis,NA
october,a,1,Q3,Anchusa arvensis,1
october,a,1,Q3,Anisantha sterilis,NA
october,a,1,Q3,Aphanes australis,NA
october,a,1,Q3,Artemesia vulgaris,2
october,a,1,Q3,Bromus hordaceus,NA
october,a,1,Q3,Cerastium glomeratun,1
october,a,1,Q3,Chenopodium album,NA
october,a,1,Q3,Cirsium arvense,NA
october,a,1,Q3,Conyza canadensis,NA
october,a,1,Q3,Crepis capillaris,NA
october,a,1,Q3,Crepis paludos,NA
october,a,1,Q3,Elytrigia repens,NA
october,a,1,Q3,Epilobium ciliatum,NA
october,a,1,Q3,Erodium cicutarium,NA
october,a,1,Q3,Fallopia convolvulus,NA
october,a,1,Q3,Festuca rubra,NA
october,a,1,Q3,Geranium molle,NA
october,a,1,Q3,Holcus mollis,144
october,a,1,Q3,Hypochaeris radicata,NA
october,a,1,Q3,Lactuca serriola,NA
october,a,1,Q3,Medicago lupulina,NA
october,a,1,Q3,Myosotis arvensis,NA
october,a,1,Q3,Plantago lanceolata,NA
october,a,1,Q3,Polpaver dubium,NA
october,a,1,Q3,Raphanus raphanistrum,NA
october,a,1,Q3,Rumex acetosella,NA
october,a,1,Q3,Rumex crispus,NA
october,a,1,Q3,Rumex obtusifolia,NA
october,a,1,Q3,Semecio jacobaea,NA
october,a,1,Q3,Sonchus asper,NA
october,a,1,Q3,Spergula arvensis,NA
